Words,WordCounts,Big_data_A_review.txt,Concept drift and machine learning model for detecting.txt,DATA SCIENCE AND ITS RELATIONSHIP TO BIG DATA AND DATA-DRIVEN DECISION MAKING.txt,"Data Science, Predictive Analytics, and Big Data A Revolution.txt",Data_Mining_with_Big_Data.txt,Detecting Fraudulent Transactions Using Stacked Autoencoder.txt,Optimizing Supply Chain Data Quality.txt,Raising the Cost of Malicious AI-Powered Image Editing.txt,The Dormant Neuron Phenomenon in Deep Reinforcement Learning.txt,The Imbalanced Classification of Fraudulent Bank Transactions.txt,Towards Theoretical Understanding of Inverse Reinforcement Learning.txt,Unveiling Data Science Dynamics.txt
xplore,6,0.05851390258697585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
utc,6,0.05851390258697585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distributed,44,0.05573567371300744,0.0034644662277449442,0.0,0.0,0.04429740957673702,0.004169959811767887,0.0,0.0,0.0014641074692728592,0.00605707765668106,0.0010403394436980943,0.017078904114311916
ieee,66,0.05573567371300744,0.0311801960497045,0.0,0.0,0.04208253909790017,0.008339919623535775,0.0024377762960539943,0.02648910837845896,0.007320537346364296,0.00908561648502159,0.0,0.0
system,87,0.055484581193278336,0.023649316125701078,0.006351835289784983,0.011030407581444026,0.022678892802596485,0.0017790745265136832,0.04368229144347876,0.0,0.0,0.015505174702699928,0.004438511368832634,0.04371933249542795
mapreduce,25,0.05178927079097124,0.0,0.0,0.0,0.059977312677578054,0.0,0.0,0.0,0.0,0.0,0.0,0.005441012741945977
information,199,0.05093831241024663,0.02533014154666053,0.010885245805241736,0.003150498829031735,0.12145373713090404,0.01219531845108726,0.08198850474011969,0.0074489537333425485,0.007493285516089703,0.015500027568734469,0.003803175385923671,0.039958691953209044
business,103,0.050446174138767584,0.0,0.10914829461264312,0.1310425377558567,0.012028031717590275,0.0022645301093796137,0.021181663407948317,0.0,0.0,0.0,0.0,0.08903842380735809
http,29,0.050446174138767584,0.007525624648484199,0.016170117720391574,0.009360181268275477,0.00962242537407222,0.0,0.010590831703974159,0.0,0.004770571800015029,0.0,0.0,0.0
univ,7,0.05025241924766861,0.0,0.0,0.0,0.0,0.003759720745207119,0.0,0.0,0.0,0.0,0.0,0.0
mckinsey,7,0.05025241924766861,0.0,0.0,0.0,0.0039939447203925504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloaded,13,0.05025241924766861,0.0,0.0,0.05439134433061877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
structured,23,0.049482675001340765,0.0,0.004405909937956437,0.0,0.013109224161493096,0.002468087341413766,0.002885708778540289,0.0,0.0,0.0,0.0,0.02426050837082689
investments,8,0.044390803535118206,0.0,0.005928798789999214,0.006863850014838496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
restrictions,9,0.044390803535118206,0.0,0.0,0.0,0.0035280772163281205,0.0,0.0,0.0,0.0,0.0,0.00331432282260247,0.0
parallel,25,0.044390803535118206,0.0,0.0,0.0,0.06350538989390617,0.0,0.0,0.0,0.0023321834183776175,0.0,0.0,0.0
analysis,130,0.04414653742221374,0.002533014154666053,0.024491803061793906,0.01890299297419041,0.030768280073162357,0.010670903644701352,0.01782358798698254,0.0014897907466685095,0.004281877437765545,0.03985721374817435,0.008366985849032076,0.07741996565934253
software,29,0.043984600001191795,0.0,0.008811819875912874,0.01020156226048055,0.018352913826090334,0.0,0.0,0.0,0.0,0.003585021766451214,0.0,0.03639076255624033
organizations,33,0.043984600001191795,0.0,0.0,0.005100781130240275,0.0026218448322986193,0.0,0.02308567022832231,0.0024120296311771006,0.0,0.0,0.0,0.056607852865262744
survey,20,0.043984600001191795,0.012303147695556857,0.0,0.0,0.0,0.0,0.005771417557080578,0.007236088893531301,0.001733131864333099,0.0,0.003694494039753536,0.0
access,50,0.043595028080432974,0.03843013870426425,0.0031759176448924913,0.0036768025271480087,0.022678892802596485,0.007116298106054733,0.0,0.0017386663761928725,0.0,0.007752587351349964,0.0017754045475330534,0.005829244332723726
17,50,0.04286847018598417,0.02238310585168529,0.0,0.0,0.004088502867735512,0.009621833879033495,0.013499916323615293,0.0037613172002573347,0.013513222655662118,0.013976200643593803,0.0,0.009457954645611711
database,29,0.042150873561779455,0.0,0.0,0.0,0.022971790780659883,0.0,0.0158023029952786,0.0,0.0,0.019631780108728687,0.0,0.01771358712961672
platform,19,0.042150873561779455,0.004491515085806126,0.0,0.0,0.02584326462824237,0.0,0.0,0.0,0.0,0.003926356021745737,0.0,0.00442839678240418
00,16,0.042150873561779455,0.0,0.0,0.0,0.0028714738475824854,0.0,0.0,0.00528336377515282,0.005694436331475715,0.011779068065237212,0.0,0.0
systems,136,0.040750649928197304,0.01519808492799632,0.021770491610483472,0.003150498829031735,0.05667841066108855,0.00609765922554363,0.040994252370059846,0.005959162986674038,0.00856375487553109,0.022142896526763527,0.0030425403087389366,0.05244578318858687
insights,19,0.04035693931101406,0.0,0.0,0.0,0.00481121268703611,0.004529060218759227,0.010590831703974159,0.0,0.0015901906000050099,0.00328934458545527,0.0,0.003709934325306587
created,18,0.04035693931101406,0.0037628123242420997,0.0,0.0,0.002405606343518055,0.0022645301093796137,0.0026477079259935397,0.0,0.0,0.01315737834182108,0.0,0.007419868650613174
web,24,0.03984418116344814,0.0,0.04789400119669599,0.0,0.025333778453422565,0.0,0.0,0.0,0.0,0.0,0.0,0.004883729965176626
services,14,0.03984418116344814,0.0,0.0,0.0,0.009500166920033462,0.0,0.0,0.0,0.0,0.012990206275243303,0.0,0.009767459930353252
privacy,45,0.03984418116344814,0.0,0.0,0.0,0.10450183612036809,0.0,0.0,0.0029133028558062405,0.0,0.0,0.0,0.02441864982588313
discovery,29,0.03848652500104282,0.004101049231852286,0.004405909937956437,0.0,0.028840293155284812,0.0,0.0,0.0,0.0,0.003585021766451214,0.0,0.03234734449443585
architecture,32,0.03848652500104282,0.004101049231852286,0.0,0.0,0.0026218448322986193,0.017276611389896366,0.0,0.0024120296311771006,0.025996977964996483,0.0,0.0,0.0
according,23,0.03848652500104282,0.004101049231852286,0.0,0.0,0.007865534496895856,0.014808524048482596,0.0,0.0,0.001733131864333099,0.0,0.006157490066255894,0.0
limited,17,0.03848652500104282,0.0,0.0,0.005100781130240275,0.010487379329194477,0.0,0.0,0.0,0.001733131864333099,0.003585021766451214,0.0,0.012130254185413445
www,27,0.03715711580867163,0.0034644662277449442,0.0,0.0215450765911125,0.011074352394184256,0.0020849799058839436,0.0048755525921079885,0.0,0.0,0.01211415531336212,0.0,0.003415780822862383
issues,39,0.03715711580867163,0.024251263594214607,0.0,0.0043090153182225,0.028793316224879066,0.006254939717651831,0.007313328888161983,0.0020376237214199196,0.0,0.0,0.0,0.01024734246858715
warehouse,7,0.03699233627926517,0.0,0.005928798789999214,0.0,0.0,0.0,0.003883144902057446,0.0,0.0,0.0,0.0,0.0
advantages,9,0.03699233627926517,0.0,0.0,0.0,0.0,0.009963521803289523,0.003883144902057446,0.0,0.0,0.0,0.0,0.0
20,69,0.03667703523992218,0.008207290398542753,0.005878265176592645,0.006805346571659481,0.006996011899089681,0.019757197141279985,0.0019250236229918138,0.0016090376318988367,0.031216120887221033,0.014349164352300376,0.0,0.0026973183657647906
massive,29,0.03612932019581096,0.004491515085806126,0.014476205844592928,0.0,0.05168652925648474,0.0,0.0,0.0,0.0,0.003926356021745737,0.0,0.0
planning,20,0.03612932019581096,0.0,0.0,0.0,0.0,0.0,0.01264184239622288,0.0,0.0018981454438252385,0.0,0.005395001709998658,0.0221419839120209
store,15,0.03612932019581096,0.0,0.0,0.02234573066612199,0.0,0.0,0.0,0.00264168188757641,0.0,0.003926356021745737,0.0,0.013285190347212539
language,16,0.03612932019581096,0.0,0.0,0.0,0.011485895390329941,0.0,0.0,0.01056672755030564,0.0018981454438252385,0.0,0.0,0.00442839678240418
every,70,0.035668659338536066,0.0029561645157126348,0.006351835289784983,0.0,0.007559630934198828,0.0017790745265136832,0.0020801091163561315,0.0017386663761928725,0.0062464781922141645,0.0,0.03905890004572717,0.005829244332723726
processing,80,0.034294776148787336,0.0,0.044658722272065944,0.0,0.04292928011122287,0.0,0.03824976291691,0.013164610200900671,0.009459255858963482,0.0027952401287187605,0.0019203970794769603,0.012610606194148947
potential,30,0.034294776148787336,0.0,0.006870572657240914,0.011931231411049013,0.002044251433867756,0.005773100327420097,0.011249930269679412,0.005641975800386002,0.004053966796698635,0.005590480257437521,0.0,0.0
based,187,0.03395887494016442,0.06585836802131738,0.019049180159173038,0.01890299297419041,0.03238766323490774,0.03658595535326178,0.03921189357136159,0.013408116720016586,0.01926844846994495,0.059785820622261523,0.00912762092621681,0.014984509482453391
pdf,6,0.033501612831779076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005280276524395692,0.0,0.0,0.0
massively,5,0.033501612831779076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006159475199043569
ecl,5,0.033501612831779076,0.0,0.0,0.0,0.0039939447203925504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
streams,30,0.03320348430287346,0.08420674888772137,0.0,0.0,0.022167056146744742,0.0,0.0,0.0,0.0,0.0,0.0,0.004883729965176626
million,11,0.03320348430287346,0.0,0.0,0.0,0.009500166920033462,0.0,0.0,0.0,0.0,0.004330068758414435,0.0,0.009767459930353252
research,130,0.033009331715929964,0.010943053864723672,0.0,0.11909356500404093,0.04372507436931051,0.008232165475533326,0.05005061419778716,0.00482711289569651,0.0057807631272631535,0.011957636960250312,0.007393665314826626,0.010789273463059162
google,27,0.03298845000089384,0.0,0.004405909937956437,0.045907030172162466,0.007865534496895856,0.0,0.0,0.0,0.008665659321665495,0.0,0.0,0.012130254185413445
day,25,0.03298845000089384,0.02050524615926143,0.008811819875912874,0.030604686781441643,0.010487379329194477,0.004936174682827532,0.0,0.0,0.0,0.0,0.0,0.0
companies,26,0.03298845000089384,0.0,0.048465009317520805,0.015302343390720822,0.0052436896645972385,0.0,0.0,0.0,0.0,0.007170043532902428,0.0,0.008086836123608963
management,80,0.03251247633258767,0.0034644662277449442,0.0260540357447725,0.08187129104622749,0.006644611436510553,0.004169959811767887,0.07557106517767383,0.0,0.0,0.0,0.0,0.03415780822862383
23,33,0.03170547496758762,0.014780822578563174,0.0031759176448924913,0.0,0.007559630934198828,0.008895372632568416,0.0020801091163561315,0.0017386663761928725,0.002498591276885666,0.012920978918916607,0.0,0.002914622166361863
variety,38,0.03170547496758762,0.0,0.0031759176448924913,0.02206081516288805,0.007559630934198828,0.0017790745265136832,0.008320436465424526,0.005215999128578617,0.002498591276885666,0.0,0.0008877022737665267,0.023316977330894904
methods,133,0.030562987446147976,0.00759904246399816,0.01360655725655217,0.03150498829031735,0.030768280073162357,0.019817392483016796,0.0427766111687581,0.023836651946696152,0.010704693594413861,0.046500082706203406,0.0007606350771847341,0.0049948364941511305
using,259,0.030562987446147976,0.0810564529493137,0.002721311451310434,0.028354489461285614,0.017813214779199258,0.04573244419157722,0.014258870389586033,0.0625712113600774,0.04067783565877268,0.12621451020255212,0.0030425403087389366,0.044953528447360176
process,278,0.030562987446147976,0.005066028309332106,0.035377048867035646,0.00630099765806347,0.025910130587926197,0.015244148063859075,0.09802973392840397,0.0625712113600774,0.0021409387188827725,0.015500027568734469,0.0022819052315542023,0.29219793490784113
content,15,0.030267704483260546,0.0037628123242420997,0.0,0.0,0.0,0.004529060218759227,0.0026477079259935397,0.0022130957980553267,0.0,0.00657868917091054,0.0,0.007419868650613174
center,17,0.030267704483260546,0.0,0.0040425294300978935,0.0046800906341377384,0.00962242537407222,0.0,0.0026477079259935397,0.0,0.0031803812000100198,0.0,0.0,0.007419868650613174
mining,207,0.030267704483260546,0.0,0.0646804708815663,0.02808054380482643,0.26942791047402215,0.0022645301093796137,0.0,0.0,0.0,0.00328934458545527,0.0,0.24114573114492815
2022,101,0.030267704483260546,0.0451537478909052,0.0,0.0,0.0,0.01811624087503691,0.0,0.02655714957666392,0.04929590860015531,0.023025412098186888,0.028248233802890994,0.0
patterns,33,0.030267704483260546,0.0,0.020212647150489465,0.0046800906341377384,0.031272882465734717,0.009058120437518455,0.0,0.0022130957980553267,0.0,0.0,0.0,0.011129802975919761
nodes,22,0.030107766829842467,0.0,0.0,0.0,0.022971790780659883,0.016218461520941353,0.00316046059905572,0.0,0.0,0.0,0.0,0.00885679356480836
public,19,0.030107766829842467,0.0,0.0,0.005586432666530497,0.03158621232340734,0.0,0.0,0.0,0.0,0.003926356021745737,0.0,0.00442839678240418
velocity,16,0.030107766829842467,0.0,0.0,0.011172865333060994,0.0,0.008109230760470676,0.00316046059905572,0.0,0.0,0.0,0.0,0.0221419839120209
organization,22,0.030107766829842467,0.004491515085806126,0.014476205844592928,0.0,0.0,0.0,0.0316046059905572,0.0,0.0,0.0,0.0,0.013285190347212539
2013,95,0.030007929130188918,0.0,0.04122343594344548,0.07954154274032676,0.034752274375751846,0.0019243667758066989,0.06749958161807648,0.0037613172002573347,0.006756611327831059,0.0027952401287187605,0.0,0.0
22,38,0.030007929130188918,0.006395173100481512,0.0,0.035793694233147044,0.006132754301603267,0.011546200654840194,0.004499972107871765,0.0,0.004053966796698635,0.013976200643593803,0.0,0.0031526515485372367
engine,9,0.029593869023412135,0.0,0.0,0.0,0.0,0.0,0.015532579608229784,0.0,0.0023321834183776175,0.0,0.0,0.0
clusters,9,0.029593869023412135,0.0,0.0,0.0,0.014112308865312482,0.0,0.0,0.0,0.0,0.0,0.0,0.005441012741945977
barriers,6,0.029593869023412135,0.0,0.0,0.0,0.0035280772163281205,0.0,0.003883144902057446,0.0,0.0,0.0,0.0,0.0
roxie,3,0.029256951293487925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hdfs,3,0.029256951293487925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gazi,3,0.029256951293487925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hive,3,0.029256951293487925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
workflow,3,0.029256951293487925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
traffic,3,0.029256951293487925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
challenges,38,0.02786783685650372,0.0034644662277449442,0.0,0.0129270459546675,0.03543792766138962,0.004169959811767887,0.0,0.0020376237214199196,0.0,0.0,0.0010403394436980943,0.027326246582899064
